"No.","Time","Source","Destination","Protocol","Source Port","Dest Port","Length","Info"
"1","2020-07-17 12:52:07.678706918","192.168.56.104","192.168.56.100","DHCP","68","67","342","DHCP Request  - Transaction ID 0xb92d511f"
"2","2020-07-17 12:52:07.721876847","192.168.56.100","192.168.56.104","DHCP","67","68","590","DHCP ACK      - Transaction ID 0xb92d511f"
"3","2020-07-17 12:52:12.689851437","PcsCompu_6c:9b:66","PcsCompu_b7:12:b1","ARP","","","60","Who has 192.168.56.100? Tell 192.168.56.104"
"4","2020-07-17 12:52:12.689873636","PcsCompu_b7:12:b1","PcsCompu_6c:9b:66","ARP","","","60","192.168.56.100 is at 08:00:27:b7:12:b1"
"5","2020-07-17 12:52:28.030433134","PcsCompu_74:73:8a","Broadcast","ARP","","","42","Who has 192.168.56.104? Tell 192.168.56.105"
"6","2020-07-17 12:52:28.030885491","PcsCompu_6c:9b:66","PcsCompu_74:73:8a","ARP","","","60","192.168.56.104 is at 08:00:27:6c:9b:66"
"7","2020-07-17 12:52:28.030895346","192.168.56.105","192.168.56.104","TCP","46730","80","74","46730  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4192438763 TSecr=0 WS=128"
"8","2020-07-17 12:52:28.031141979","192.168.56.104","192.168.56.105","TCP","80","46730","74","80  >  46730 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=369663 TSecr=4192438763 WS=128"
"9","2020-07-17 12:52:28.031170521","192.168.56.105","192.168.56.104","TCP","46730","80","66","46730  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4192438764 TSecr=369663"
"10","2020-07-17 12:52:28.031511783","192.168.56.105","192.168.56.104","HTTP","46730","80","380","GET / HTTP/1.1 "
"11","2020-07-17 12:52:28.031796696","192.168.56.104","192.168.56.105","TCP","80","46730","66","80  >  46730 [ACK] Seq=1 Ack=315 Win=30080 Len=0 TSval=369663 TSecr=4192438764"
"12","2020-07-17 12:52:28.528839571","192.168.56.104","192.168.56.105","HTTP","80","46730","3252","HTTP/1.1 200 OK  (text/html)"
"13","2020-07-17 12:52:28.528881942","192.168.56.105","192.168.56.104","TCP","46730","80","66","46730  >  80 [ACK] Seq=315 Ack=3187 Win=62592 Len=0 TSval=4192439262 TSecr=369788"
"14","2020-07-17 12:52:28.589987207","192.168.56.105","192.168.56.104","HTTP","46730","80","361","GET /content/css/loading.css HTTP/1.1 "
"15","2020-07-17 12:52:28.590345432","192.168.56.104","192.168.56.105","TCP","80","46730","66","80  >  46730 [ACK] Seq=3187 Ack=610 Win=31104 Len=0 TSval=369803 TSecr=4192439323"
"16","2020-07-17 12:52:28.590535765","192.168.56.105","192.168.56.104","TCP","46736","80","74","46736  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4192439323 TSecr=0 WS=128"
"17","2020-07-17 12:52:28.590799162","192.168.56.104","192.168.56.105","TCP","80","46736","74","80  >  46736 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=369803 TSecr=4192439323 WS=128"
"18","2020-07-17 12:52:28.590814962","192.168.56.105","192.168.56.104","TCP","46736","80","66","46736  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4192439324 TSecr=369803"
"19","2020-07-17 12:52:28.590866976","192.168.56.105","192.168.56.104","TCP","46738","80","74","46738  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4192439324 TSecr=0 WS=128"
"20","2020-07-17 12:52:28.590938918","192.168.56.105","192.168.56.104","HTTP","46736","80","378","GET /content/vendors.2217590b5cc5d0b62058.css HTTP/1.1 "
"21","2020-07-17 12:52:28.591086441","192.168.56.104","192.168.56.105","TCP","80","46738","74","80  >  46738 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=369803 TSecr=4192439324 WS=128"
"22","2020-07-17 12:52:28.591105170","192.168.56.105","192.168.56.104","TCP","46738","80","66","46738  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4192439324 TSecr=369803"
"23","2020-07-17 12:52:28.591121864","192.168.56.104","192.168.56.105","TCP","80","46736","66","80  >  46736 [ACK] Seq=1 Ack=313 Win=30080 Len=0 TSval=369803 TSecr=4192439324"
"24","2020-07-17 12:52:28.591223765","192.168.56.105","192.168.56.104","HTTP","46738","80","375","GET /content/main.2217590b5cc5d0b62058.css HTTP/1.1 "
"25","2020-07-17 12:52:28.591567761","192.168.56.104","192.168.56.105","TCP","80","46738","66","80  >  46738 [ACK] Seq=1 Ack=310 Win=30080 Len=0 TSval=369803 TSecr=4192439324"
"26","2020-07-17 12:52:28.591929551","192.168.56.105","192.168.56.104","TCP","46740","80","74","46740  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4192439325 TSecr=0 WS=128"
