"No.","Time","Source","Destination","Protocol","Length","Info","Source Port","Dest Port"
"1","1595011927.678","192.168.56.104","192.168.56.100","DHCP","342","DHCP Request  - Transaction ID 0xb92d511f","68","67"
"2","1595011927.721","192.168.56.100","192.168.56.104","DHCP","590","DHCP ACK      - Transaction ID 0xb92d511f","67","68"
"3","1595011932.689","PcsCompu_6c:9b:66","PcsCompu_b7:12:b1","ARP","60","Who has 192.168.56.100? Tell 192.168.56.104","",""
"4","1595011932.689","PcsCompu_b7:12:b1","PcsCompu_6c:9b:66","ARP","60","192.168.56.100 is at 08:00:27:b7:12:b1","",""
"5","1595011948.030","PcsCompu_74:73:8a","Broadcast","ARP","42","Who has 192.168.56.104? Tell 192.168.56.105","",""
"6","1595011948.030","PcsCompu_6c:9b:66","PcsCompu_74:73:8a","ARP","60","192.168.56.104 is at 08:00:27:6c:9b:66","",""
"7","1595011948.030","192.168.56.105","192.168.56.104","TCP","74","46730  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4192438763 TSecr=0 WS=128","46730","80"
"8","1595011948.031","192.168.56.104","192.168.56.105","TCP","74","80  >  46730 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=369663 TSecr=4192438763 WS=128","80","46730"
"9","1595011948.031","192.168.56.105","192.168.56.104","TCP","66","46730  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4192438764 TSecr=369663","46730","80"
"10","1595011948.031","192.168.56.105","192.168.56.104","HTTP","380","GET / HTTP/1.1 ","46730","80"
"11","1595011948.031","192.168.56.104","192.168.56.105","TCP","66","80  >  46730 [ACK] Seq=1 Ack=315 Win=30080 Len=0 TSval=369663 TSecr=4192438764","80","46730"
"12","1595011948.528","192.168.56.104","192.168.56.105","HTTP","3252","HTTP/1.1 200 OK  (text/html)","80","46730"
"13","1595011948.528","192.168.56.105","192.168.56.104","TCP","66","46730  >  80 [ACK] Seq=315 Ack=3187 Win=62592 Len=0 TSval=4192439262 TSecr=369788","46730","80"
"14","1595011948.589","192.168.56.105","192.168.56.104","HTTP","361","GET /content/css/loading.css HTTP/1.1 ","46730","80"
"15","1595011948.590","192.168.56.104","192.168.56.105","TCP","66","80  >  46730 [ACK] Seq=3187 Ack=610 Win=31104 Len=0 TSval=369803 TSecr=4192439323","80","46730"
"16","1595011948.590","192.168.56.105","192.168.56.104","TCP","74","46736  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4192439323 TSecr=0 WS=128","46736","80"
"17","1595011948.590","192.168.56.104","192.168.56.105","TCP","74","80  >  46736 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=369803 TSecr=4192439323 WS=128","80","46736"
"18","1595011948.590","192.168.56.105","192.168.56.104","TCP","66","46736  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4192439324 TSecr=369803","46736","80"
"19","1595011948.590","192.168.56.105","192.168.56.104","TCP","74","46738  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4192439324 TSecr=0 WS=128","46738","80"
"20","1595011948.590","192.168.56.105","192.168.56.104","HTTP","378","GET /content/vendors.2217590b5cc5d0b62058.css HTTP/1.1 ","46736","80"
"21","1595011948.591","192.168.56.104","192.168.56.105","TCP","74","80  >  46738 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=369803 TSecr=4192439324 WS=128","80","46738"
"22","1595011948.591","192.168.56.105","192.168.56.104","TCP","66","46738  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4192439324 TSecr=369803","46738","80"
"23","1595011948.591","192.168.56.104","192.168.56.105","TCP","66","80  >  46736 [ACK] Seq=1 Ack=313 Win=30080 Len=0 TSval=369803 TSecr=4192439324","80","46736"
"24","1595011948.591","192.168.56.105","192.168.56.104","HTTP","375","GET /content/main.2217590b5cc5d0b62058.css HTTP/1.1 ","46738","80"
"25","1595011948.591","192.168.56.104","192.168.56.105","TCP","66","80  >  46738 [ACK] Seq=1 Ack=310 Win=30080 Len=0 TSval=369803 TSecr=4192439324","80","46738"
"26","1595011948.591","192.168.56.105","192.168.56.104","TCP","74","46740  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4192439325 TSecr=0 WS=128","46740","80"
"27","1595011948.592","192.168.56.104","192.168.56.105","TCP","74","80  >  46740 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=369803 TSecr=4192439325 WS=128","80","46740"
"28","1595011948.592","192.168.56.105","192.168.56.104","TCP","66","46740  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4192439325 TSecr=369803","46740","80"
"29","1595011948.592","192.168.56.105","192.168.56.104","HTTP","362","GET /app/main.2217590b5cc5d0b62058.bundle.js HTTP/1.1 ","46740","80"
"30","1595011948.592","192.168.56.104","192.168.56.105","TCP","66","80  >  46740 [ACK] Seq=1 Ack=297 Win=30080 Len=0 TSval=369804 TSecr=4192439325","80","46740"
"31","1595011948.594","192.168.56.105","192.168.56.104","TCP","66","46730  >  80 [FIN, ACK] Seq=610 Ack=3187 Win=64128 Len=0 TSval=4192439328 TSecr=369803","46730","80"
"32","1595011948.594","192.168.56.105","192.168.56.104","TCP","66","46736  >  80 [FIN, ACK] Seq=313 Ack=1 Win=64256 Len=0 TSval=4192439328 TSecr=369803","46736","80"
"33","1595011948.595","192.168.56.105","192.168.56.104","TCP","66","46738  >  80 [FIN, ACK] Seq=310 Ack=1 Win=64256 Len=0 TSval=4192439329 TSecr=369803","46738","80"
"34","1595011948.596","192.168.56.105","192.168.56.104","TCP","66","46740  >  80 [FIN, ACK] Seq=297 Ack=1 Win=64256 Len=0 TSval=4192439330 TSecr=369804","46740","80"
"35","1595011948.632","192.168.56.104","192.168.56.105","TCP","66","80  >  46738 [ACK] Seq=1 Ack=311 Win=30080 Len=0 TSval=369814 TSecr=4192439329","80","46738"
"36","1595011948.632","192.168.56.104","192.168.56.105","TCP","66","80  >  46736 [ACK] Seq=1 Ack=314 Win=30080 Len=0 TSval=369814 TSecr=4192439328","80","46736"
"37","1595011948.632","192.168.56.104","192.168.56.105","TCP","66","80  >  46730 [ACK] Seq=3187 Ack=611 Win=31104 Len=0 TSval=369814 TSecr=4192439328","80","46730"
"38","1595011948.637","192.168.56.104","192.168.56.105","TCP","66","80  >  46740 [ACK] Seq=1 Ack=298 Win=30080 Len=0 TSval=369815 TSecr=4192439330","80","46740"
