"No.","Time","Source","Destination","Protocol","Source Port","Dest Port","Length","Info"
"1","2020-07-17 13:11:55.794955819","192.168.56.105","192.168.56.104","ICMP","","","98","Echo (ping) request  id=0x0b9c, seq=1/256, ttl=64 (reply in 4)"
"2","2020-07-17 13:11:55.795585546","PcsCompu_6c:9b:66","Broadcast","ARP","","","60","Who has 192.168.56.105? Tell 192.168.56.104"
"3","2020-07-17 13:11:55.795595884","PcsCompu_74:73:8a","PcsCompu_6c:9b:66","ARP","","","42","192.168.56.105 is at 08:00:27:74:73:8a"
"4","2020-07-17 13:11:55.796154964","192.168.56.104","192.168.56.105","ICMP","","","98","Echo (ping) reply    id=0x0b9c, seq=1/256, ttl=64 (request in 1)"
"5","2020-07-17 13:11:56.797308592","192.168.56.105","192.168.56.104","ICMP","","","98","Echo (ping) request  id=0x0b9c, seq=2/512, ttl=64 (reply in 6)"
"6","2020-07-17 13:11:56.798424239","192.168.56.104","192.168.56.105","ICMP","","","98","Echo (ping) reply    id=0x0b9c, seq=2/512, ttl=64 (request in 5)"
"7","2020-07-17 13:11:57.799415458","192.168.56.105","192.168.56.104","ICMP","","","98","Echo (ping) request  id=0x0b9c, seq=3/768, ttl=64 (reply in 8)"
"8","2020-07-17 13:11:57.800608759","192.168.56.104","192.168.56.105","ICMP","","","98","Echo (ping) reply    id=0x0b9c, seq=3/768, ttl=64 (request in 7)"
"9","2020-07-17 13:11:58.801691053","192.168.56.105","192.168.56.104","ICMP","","","98","Echo (ping) request  id=0x0b9c, seq=4/1024, ttl=64 (reply in 10)"
"10","2020-07-17 13:11:58.802834640","192.168.56.104","192.168.56.105","ICMP","","","98","Echo (ping) reply    id=0x0b9c, seq=4/1024, ttl=64 (request in 9)"
"11","2020-07-17 13:12:00.869522264","PcsCompu_74:73:8a","PcsCompu_6c:9b:66","ARP","","","42","Who has 192.168.56.104? Tell 192.168.56.105"
"12","2020-07-17 13:12:00.870682241","PcsCompu_6c:9b:66","PcsCompu_74:73:8a","ARP","","","60","192.168.56.104 is at 08:00:27:6c:9b:66"
