"No.","Time","Source","Destination","Protocol","Length","Info","Source Port","Dest Port"
"1","1595013115.794","192.168.56.105","192.168.56.104","ICMP","98","Echo (ping) request  id=0x0b9c, seq=1/256, ttl=64 (reply in 4)","",""
"2","1595013115.795","PcsCompu_6c:9b:66","Broadcast","ARP","60","Who has 192.168.56.105? Tell 192.168.56.104","",""
"3","1595013115.795","PcsCompu_74:73:8a","PcsCompu_6c:9b:66","ARP","42","192.168.56.105 is at 08:00:27:74:73:8a","",""
"4","1595013115.796","192.168.56.104","192.168.56.105","ICMP","98","Echo (ping) reply    id=0x0b9c, seq=1/256, ttl=64 (request in 1)","",""
"5","1595013116.797","192.168.56.105","192.168.56.104","ICMP","98","Echo (ping) request  id=0x0b9c, seq=2/512, ttl=64 (reply in 6)","",""
"6","1595013116.798","192.168.56.104","192.168.56.105","ICMP","98","Echo (ping) reply    id=0x0b9c, seq=2/512, ttl=64 (request in 5)","",""
"7","1595013117.799","192.168.56.105","192.168.56.104","ICMP","98","Echo (ping) request  id=0x0b9c, seq=3/768, ttl=64 (reply in 8)","",""
"8","1595013117.800","192.168.56.104","192.168.56.105","ICMP","98","Echo (ping) reply    id=0x0b9c, seq=3/768, ttl=64 (request in 7)","",""
"9","1595013118.801","192.168.56.105","192.168.56.104","ICMP","98","Echo (ping) request  id=0x0b9c, seq=4/1024, ttl=64 (reply in 10)","",""
"10","1595013118.802","192.168.56.104","192.168.56.105","ICMP","98","Echo (ping) reply    id=0x0b9c, seq=4/1024, ttl=64 (request in 9)","",""
"11","1595013120.869","PcsCompu_74:73:8a","PcsCompu_6c:9b:66","ARP","42","Who has 192.168.56.104? Tell 192.168.56.105","",""
"12","1595013120.870","PcsCompu_6c:9b:66","PcsCompu_74:73:8a","ARP","60","192.168.56.104 is at 08:00:27:6c:9b:66","",""
"13","1595013125.471","192.168.56.105","192.168.56.104","TCP","74","46814  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4193616205 TSecr=0 WS=128","46814","80"
"14","1595013125.471","192.168.56.104","192.168.56.105","TCP","74","80  >  46814 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=59498 TSecr=4193616205 WS=128","80","46814"
"15","1595013125.472","192.168.56.105","192.168.56.104","TCP","66","46814  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4193616205 TSecr=59498","46814","80"
"16","1595013125.472","192.168.56.105","192.168.56.104","HTTP","380","GET / HTTP/1.1 ","46814","80"
"17","1595013125.472","192.168.56.104","192.168.56.105","TCP","66","80  >  46814 [ACK] Seq=1 Ack=315 Win=30080 Len=0 TSval=59498 TSecr=4193616205","80","46814"
"18","1595013125.963","192.168.56.104","192.168.56.105","HTTP","3252","HTTP/1.1 200 OK  (text/html)","80","46814"
"19","1595013125.963","192.168.56.105","192.168.56.104","TCP","66","46814  >  80 [ACK] Seq=315 Ack=3187 Win=62592 Len=0 TSval=4193616696 TSecr=59621","46814","80"
"20","1595013126.017","192.168.56.105","192.168.56.104","HTTP","361","GET /content/css/loading.css HTTP/1.1 ","46814","80"
"21","1595013126.017","192.168.56.105","192.168.56.104","TCP","66","46814  >  80 [FIN, ACK] Seq=610 Ack=3187 Win=64128 Len=0 TSval=4193616750 TSecr=59621","46814","80"
"22","1595013126.017","192.168.56.104","192.168.56.105","TCP","66","80  >  46814 [ACK] Seq=3187 Ack=610 Win=31104 Len=0 TSval=59635 TSecr=4193616750","80","46814"
"23","1595013126.017","192.168.56.105","192.168.56.104","TCP","74","46816  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4193616751 TSecr=0 WS=128","46816","80"
"24","1595013126.017","192.168.56.104","192.168.56.105","TCP","74","80  >  46816 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=59635 TSecr=4193616751 WS=128","80","46816"
"25","1595013126.017","192.168.56.105","192.168.56.104","TCP","54","46816  >  80 [RST] Seq=1 Win=0 Len=0","46816","80"
"26","1595013126.018","192.168.56.105","192.168.56.104","TCP","74","46818  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4193616751 TSecr=0 WS=128","46818","80"
