"No.","Time","Source","Destination","Protocol","Source Port","Dest Port","Length","Info"
"1","2020-07-12 20:54:38.115614448","192.168.56.102","192.168.56.255","NBNS","137","137","92","Name query NB WORKGROUP<1d>"
"2","2020-07-12 20:54:38.115854052","192.168.56.101","192.168.56.102","NBNS","137","137","104","Name query response NB 192.168.56.101"
"3","2020-07-12 20:54:38.115905970","192.168.56.1","255.255.255.255","NBNS","54926","137","92","Name query NB WORKGROUP<1d>"
"4","2020-07-12 20:54:38.116133751","192.168.56.101","192.168.56.1","NBNS","137","54926","104","Name query response NB 192.168.56.101"
"5","2020-07-12 20:54:43.120683917","PcsCompu_ae:93:92","PcsCompu_af:7b:18","ARP","","","60","Who has 192.168.56.102? Tell 192.168.56.101"
"6","2020-07-12 20:54:43.120710417","PcsCompu_ae:93:92","0a:00:27:00:00:1a","ARP","","","60","Who has 192.168.56.1? Tell 192.168.56.101"
"7","2020-07-12 20:54:43.120711737","0a:00:27:00:00:1a","PcsCompu_ae:93:92","ARP","","","60","192.168.56.1 is at 0a:00:27:00:00:1a"
"8","2020-07-12 20:54:43.121003898","PcsCompu_af:7b:18","PcsCompu_ae:93:92","ARP","","","60","192.168.56.102 is at 08:00:27:af:7b:18"
"9","2020-07-12 20:54:51.116719776","192.168.56.102","192.168.56.101","TCP","60348","22","74","60348  >  22 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2059235 TSecr=0 WS=128"
"10","2020-07-12 20:54:51.116968323","192.168.56.101","192.168.56.102","TCP","22","60348","74","22  >  60348 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2059827 TSecr=2059235 WS=128"
"11","2020-07-12 20:54:51.117136487","192.168.56.102","192.168.56.101","TCP","60348","22","66","60348  >  22 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=2059235 TSecr=2059827"
"12","2020-07-12 20:54:51.117454455","192.168.56.102","192.168.56.101","SSHv2","60348","22","107","Client: Protocol (SSH-2.0-OpenSSH_7.2p2 Ubuntu-4ubuntu2.1)"
"13","2020-07-12 20:54:51.117678816","192.168.56.101","192.168.56.102","TCP","22","60348","66","22  >  60348 [ACK] Seq=1 Ack=42 Win=29056 Len=0 TSval=2059827 TSecr=2059236"
"14","2020-07-12 20:54:51.123372351","192.168.56.101","192.168.56.102","SSHv2","22","60348","110","Server: Protocol (SSH-2.0-OpenSSH_6.6.1p1 Ubuntu-2ubuntu2.13)"
