"No.","Time","Source","Destination","Protocol","Length","Info","Source Port","Dest Port"
"1","1594608878.115614448","192.168.56.102","192.168.56.255","NBNS","92","Name query NB WORKGROUP<1d>","137","137"
"2","1594608878.115854052","192.168.56.101","192.168.56.102","NBNS","104","Name query response NB 192.168.56.101","137","137"
"3","1594608878.115905970","192.168.56.1","255.255.255.255","NBNS","92","Name query NB WORKGROUP<1d>","54926","137"
"4","1594608878.116133751","192.168.56.101","192.168.56.1","NBNS","104","Name query response NB 192.168.56.101","137","54926"
"5","1594608883.120683917","PcsCompu_ae:93:92","PcsCompu_af:7b:18","ARP","60","Who has 192.168.56.102? Tell 192.168.56.101","",""
"6","1594608883.120710417","PcsCompu_ae:93:92","0a:00:27:00:00:1a","ARP","60","Who has 192.168.56.1? Tell 192.168.56.101","",""
"7","1594608883.120711737","0a:00:27:00:00:1a","PcsCompu_ae:93:92","ARP","60","192.168.56.1 is at 0a:00:27:00:00:1a","",""
"8","1594608883.121003898","PcsCompu_af:7b:18","PcsCompu_ae:93:92","ARP","60","192.168.56.102 is at 08:00:27:af:7b:18","",""
"9","1594608891.116719776","192.168.56.102","192.168.56.101","TCP","74","60348  >  22 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2059235 TSecr=0 WS=128","60348","22"
"10","1594608891.116968323","192.168.56.101","192.168.56.102","TCP","74","22  >  60348 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2059827 TSecr=2059235 WS=128","22","60348"
"11","1594608891.117136487","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=2059235 TSecr=2059827","60348","22"
"12","1594608891.117454455","192.168.56.102","192.168.56.101","SSHv2","107","Client: Protocol (SSH-2.0-OpenSSH_7.2p2 Ubuntu-4ubuntu2.1)","60348","22"
"13","1594608891.117678816","192.168.56.101","192.168.56.102","TCP","66","22  >  60348 [ACK] Seq=1 Ack=42 Win=29056 Len=0 TSval=2059827 TSecr=2059236","22","60348"
"14","1594608891.123372351","192.168.56.101","192.168.56.102","SSHv2","110","Server: Protocol (SSH-2.0-OpenSSH_6.6.1p1 Ubuntu-2ubuntu2.13)","22","60348"
"15","1594608891.123556914","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=42 Ack=45 Win=29312 Len=0 TSval=2059237 TSecr=2059828","60348","22"
"16","1594608891.124159221","192.168.56.102","192.168.56.101","SSHv2","1402","Client: Key Exchange Init","60348","22"
"17","1594608891.124399493","192.168.56.101","192.168.56.102","SSHv2","1698","Server: Key Exchange Init","22","60348"
"18","1594608891.124667532","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=1378 Ack=1677 Win=32512 Len=0 TSval=2059237 TSecr=2059829","60348","22"
"19","1594608891.128074943","192.168.56.102","192.168.56.101","SSHv2","114","Client: Elliptic Curve Diffie-Hellman Key Exchange Init","60348","22"
"20","1594608891.130917630","192.168.56.101","192.168.56.102","SSHv2","346","Server: Elliptic Curve Diffie-Hellman Key Exchange Reply, New Keys","22","60348"
"21","1594608891.133686738","192.168.56.102","192.168.56.101","SSHv2","82","Client: New Keys","60348","22"
"22","1594608891.172592067","192.168.56.101","192.168.56.102","TCP","66","22  >  60348 [ACK] Seq=1957 Ack=1442 Win=31872 Len=0 TSval=2059841 TSecr=2059240","22","60348"
"23","1594608891.172789155","192.168.56.102","192.168.56.101","SSHv2","110","Client: Encrypted packet (len=44)","60348","22"
"24","1594608891.172907596","192.168.56.101","192.168.56.102","TCP","66","22  >  60348 [ACK] Seq=1957 Ack=1486 Win=31872 Len=0 TSval=2059841 TSecr=2059249","22","60348"
"25","1594608891.173064740","192.168.56.101","192.168.56.102","SSHv2","110","Server: Encrypted packet (len=44)","22","60348"
"26","1594608891.173277104","192.168.56.102","192.168.56.101","SSHv2","134","Client: Encrypted packet (len=68)","60348","22"
"27","1594608891.175622590","192.168.56.101","192.168.56.102","SSHv2","118","Server: Encrypted packet (len=52)","22","60348"
"28","1594608891.213586162","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=1554 Ack=2053 Win=35456 Len=0 TSval=2059260 TSecr=2059841","60348","22"
"29","1594608899.731895347","192.168.56.102","192.168.56.101","SSHv2","214","Client: Encrypted packet (len=148)","60348","22"
"30","1594608899.739153103","192.168.56.101","192.168.56.102","SSHv2","94","Server: Encrypted packet (len=28)","22","60348"
"31","1594608899.739278172","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=1702 Ack=2081 Win=35456 Len=0 TSval=2061391 TSecr=2061982","60348","22"
"32","1594608899.739427356","192.168.56.102","192.168.56.101","SSHv2","178","Client: Encrypted packet (len=112)","60348","22"
"33","1594608899.776277273","192.168.56.101","192.168.56.102","TCP","66","22  >  60348 [ACK] Seq=2081 Ack=1814 Win=34560 Len=0 TSval=2061992 TSecr=2061391","22","60348"
"34","1594608900.105994563","192.168.56.101","192.168.56.102","SSHv2","110","Server: Encrypted packet (len=44)","22","60348"
"35","1594608900.106270405","192.168.56.102","192.168.56.101","SSHv2","510","Client: Encrypted packet (len=444)","60348","22"
"36","1594608900.106391662","192.168.56.101","192.168.56.102","TCP","66","22  >  60348 [ACK] Seq=2125 Ack=2258 Win=37248 Len=0 TSval=2062074 TSecr=2061483","22","60348"
"37","1594608900.107548553","192.168.56.101","192.168.56.102","SSHv2","174","Server: Encrypted packet (len=108)","22","60348"
"38","1594608900.109265562","192.168.56.101","192.168.56.102","SSHv2","614","Server: Encrypted packet (len=548)","22","60348"
"39","1594608900.109569337","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2258 Ack=2781 Win=38272 Len=0 TSval=2061484 TSecr=2062074","60348","22"
"40","1594608900.193669040","192.168.56.101","192.168.56.102","SSHv2","126","Server: Encrypted packet (len=60)","22","60348"
"41","1594608900.233966416","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2258 Ack=2841 Win=38272 Len=0 TSval=2061515 TSecr=2062096","60348","22"
"42","1594608902.411669961","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"43","1594608902.412045634","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"44","1594608902.412300039","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2294 Ack=2877 Win=38272 Len=0 TSval=2062059 TSecr=2062651","60348","22"
"45","1594608902.601267197","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"46","1594608902.601604639","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"47","1594608902.601759862","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2330 Ack=2913 Win=38272 Len=0 TSval=2062107 TSecr=2062698","60348","22"
"48","1594608903.131371737","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"49","1594608903.131769016","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"50","1594608903.131963957","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2366 Ack=2949 Win=38272 Len=0 TSval=2062239 TSecr=2062830","60348","22"
"51","1594608903.133180304","192.168.56.101","192.168.56.102","SSHv2","126","Server: Encrypted packet (len=60)","22","60348"
"52","1594608903.133300479","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"53","1594608903.133304145","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2366 Ack=3009 Win=38272 Len=0 TSval=2062240 TSecr=2062831","60348","22"
"54","1594608903.133695583","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2366 Ack=3045 Win=38272 Len=0 TSval=2062240 TSecr=2062831","60348","22"
"55","1594608903.133712325","192.168.56.101","192.168.56.102","SSHv2","126","Server: Encrypted packet (len=60)","22","60348"
"56","1594608903.133823087","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2366 Ack=3105 Win=38272 Len=0 TSval=2062240 TSecr=2062831","60348","22"
"57","1594608905.191245541","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"58","1594608905.191587820","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"59","1594608905.191775713","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2402 Ack=3141 Win=38272 Len=0 TSval=2062754 TSecr=2063345","60348","22"
"60","1594608905.441152244","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"61","1594608905.441481400","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"62","1594608905.441626775","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2438 Ack=3177 Win=38272 Len=0 TSval=2062817 TSecr=2063408","60348","22"
"63","1594608905.741232730","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"64","1594608905.741598193","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"65","1594608905.741720373","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2474 Ack=3213 Win=38272 Len=0 TSval=2062892 TSecr=2063483","60348","22"
"66","1594608905.971079863","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"67","1594608905.971373718","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"68","1594608905.971516264","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2510 Ack=3249 Win=38272 Len=0 TSval=2062949 TSecr=2063540","60348","22"
"69","1594608906.141263966","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"70","1594608906.141680402","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"71","1594608906.141876673","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2546 Ack=3285 Win=38272 Len=0 TSval=2062992 TSecr=2063583","60348","22"
"72","1594608906.262404170","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"73","1594608906.263322501","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"74","1594608906.263581818","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2582 Ack=3321 Win=38272 Len=0 TSval=2063022 TSecr=2063613","60348","22"
"75","1594608906.281785278","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"76","1594608906.282179051","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"77","1594608906.321723134","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2618 Ack=3357 Win=38272 Len=0 TSval=2063037 TSecr=2063618","60348","22"
"78","1594608906.394564240","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"79","1594608906.394982361","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"80","1594608906.395097593","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2654 Ack=3393 Win=38272 Len=0 TSval=2063055 TSecr=2063646","60348","22"
"81","1594608906.971411234","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"82","1594608906.971719596","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"83","1594608906.971863922","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2690 Ack=3429 Win=38272 Len=0 TSval=2063199 TSecr=2063790","60348","22"
"84","1594608906.972127371","192.168.56.101","192.168.56.102","SSHv2","126","Server: Encrypted packet (len=60)","22","60348"
"85","1594608906.972308511","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2690 Ack=3489 Win=38272 Len=0 TSval=2063199 TSecr=2063791","60348","22"
"86","1594608907.921385485","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"87","1594608907.921717818","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"88","1594608907.921863215","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2726 Ack=3525 Win=38272 Len=0 TSval=2063437 TSecr=2064028","60348","22"
"89","1594608908.041173751","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"90","1594608908.041473326","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"91","1594608908.041541918","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2762 Ack=3561 Win=38272 Len=0 TSval=2063467 TSecr=2064058","60348","22"
"92","1594608908.631085269","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"93","1594608908.631487643","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"94","1594608908.631626281","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2798 Ack=3597 Win=38272 Len=0 TSval=2063614 TSecr=2064205","60348","22"
"95","1594608908.633379879","192.168.56.101","192.168.56.102","SSHv2","142","Server: Encrypted packet (len=76)","22","60348"
"96","1594608908.633488159","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"97","1594608908.633491715","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2798 Ack=3673 Win=38272 Len=0 TSval=2063615 TSecr=2064206","60348","22"
"98","1594608908.633652394","192.168.56.101","192.168.56.102","SSHv2","150","Server: Encrypted packet (len=84)","22","60348"
"99","1594608908.633752159","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"100","1594608908.633755148","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2798 Ack=3709 Win=38272 Len=0 TSval=2063615 TSecr=2064206","60348","22"
"101","1594608908.633756821","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2798 Ack=3793 Win=38272 Len=0 TSval=2063615 TSecr=2064206","60348","22"
"102","1594608908.633966986","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2798 Ack=3829 Win=38272 Len=0 TSval=2063615 TSecr=2064206","60348","22"
"103","1594608908.633970038","192.168.56.101","192.168.56.102","SSHv2","134","Server: Encrypted packet (len=68)","22","60348"
"104","1594608908.633971462","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2798 Ack=3897 Win=38272 Len=0 TSval=2063615 TSecr=2064206","60348","22"
"105","1594608908.633972798","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"106","1594608908.634192787","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2798 Ack=3933 Win=38272 Len=0 TSval=2063615 TSecr=2064206","60348","22"
"107","1594608908.634195692","192.168.56.101","192.168.56.102","SSHv2","126","Server: Encrypted packet (len=60)","22","60348"
"108","1594608908.634197274","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"109","1594608908.634198535","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2798 Ack=3993 Win=38272 Len=0 TSval=2063615 TSecr=2064206","60348","22"
"110","1594608908.634199876","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2798 Ack=4029 Win=38272 Len=0 TSval=2063615 TSecr=2064206","60348","22"
"111","1594608908.634413149","192.168.56.101","192.168.56.102","SSHv2","126","Server: Encrypted packet (len=60)","22","60348"
"112","1594608908.634577749","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2798 Ack=4089 Win=38272 Len=0 TSval=2063615 TSecr=2064206","60348","22"
"113","1594608908.634580213","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"114","1594608908.634581628","192.168.56.101","192.168.56.102","SSHv2","134","Server: Encrypted packet (len=68)","22","60348"
"115","1594608908.634583170","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2798 Ack=4125 Win=38272 Len=0 TSval=2063615 TSecr=2064206","60348","22"
"116","1594608908.634584441","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2798 Ack=4193 Win=38272 Len=0 TSval=2063615 TSecr=2064206","60348","22"
"117","1594608908.634943534","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"118","1594608908.634946475","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2798 Ack=4229 Win=38272 Len=0 TSval=2063615 TSecr=2064206","60348","22"
"119","1594608908.634947889","192.168.56.101","192.168.56.102","SSHv2","158","Server: Encrypted packet (len=92)","22","60348"
"120","1594608908.634949235","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"121","1594608908.635183068","192.168.56.101","192.168.56.102","SSHv2","126","Server: Encrypted packet (len=60)","22","60348"
"122","1594608908.635186149","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"123","1594608908.635381617","192.168.56.101","192.168.56.102","SSHv2","134","Server: Encrypted packet (len=68)","22","60348"
"124","1594608908.635498236","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"125","1594608908.635620952","192.168.56.101","192.168.56.102","SSHv2","126","Server: Encrypted packet (len=60)","22","60348"
"126","1594608908.635732022","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"127","1594608908.636162601","192.168.56.101","192.168.56.102","SSHv2","126","Server: Encrypted packet (len=60)","22","60348"
"128","1594608908.636485533","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2798 Ack=4713 Win=38272 Len=0 TSval=2063615 TSecr=2064206","60348","22"
"129","1594608916.412156621","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"130","1594608916.412479144","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"131","1594608916.412632670","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2834 Ack=4749 Win=38272 Len=0 TSval=2065559 TSecr=2066151","60348","22"
"132","1594608916.512161041","192.168.56.102","192.168.56.101","SSHv2","102","Client: Encrypted packet (len=36)","60348","22"
"133","1594608916.512704420","192.168.56.101","192.168.56.102","SSHv2","102","Server: Encrypted packet (len=36)","22","60348"
"134","1594608916.512882340","192.168.56.102","192.168.56.101","TCP","66","60348  >  22 [ACK] Seq=2870 Ack=4785 Win=38272 Len=0 TSval=2065584 TSecr=2066176","60348","22"
